id,name,deadline_time,finished,data_checked,is_previous,is_current,is_next,most_selected,most_transferred_in,top_element,top_element_info,most_captained,most_vice_captained
1,Gameweek 1,2023-08-11T17:30:00Z,True,True,False,False,False,355.0,1.0,395.0,"{'id': 395, 'points': 14}",355.0,19.0
2,Gameweek 2,2023-08-18T17:15:00Z,True,True,False,False,False,355.0,195.0,108.0,"{'id': 108, 'points': 16}",355.0,19.0
3,Gameweek 3,2023-08-25T17:30:00Z,True,True,False,False,False,355.0,108.0,216.0,"{'id': 216, 'points': 19}",355.0,19.0
4,Gameweek 4,2023-09-01T17:30:00Z,True,True,False,False,False,355.0,216.0,516.0,"{'id': 516, 'points': 20}",355.0,19.0
5,Gameweek 5,2023-09-16T10:00:00Z,True,True,False,False,False,355.0,516.0,344.0,"{'id': 344, 'points': 13}",355.0,19.0
6,Gameweek 6,2023-09-23T12:30:00Z,True,True,False,False,False,355.0,343.0,430.0,"{'id': 430, 'points': 18}",355.0,308.0
7,Gameweek 7,2023-09-30T10:00:00Z,True,True,False,False,False,355.0,430.0,60.0,"{'id': 60, 'points': 23}",355.0,308.0
8,Gameweek 8,2023-10-07T10:00:00Z,True,True,False,False,False,355.0,516.0,216.0,"{'id': 216, 'points': 16}",355.0,355.0
9,Gameweek 9,2023-10-21T10:00:00Z,True,True,False,False,False,355.0,60.0,423.0,"{'id': 423, 'points': 17}",355.0,308.0
10,Gameweek 10,2023-10-27T17:30:00Z,True,True,False,False,False,355.0,60.0,13.0,"{'id': 13, 'points': 17}",355.0,355.0
11,Gameweek 11,2023-11-04T11:00:00Z,True,True,False,False,False,355.0,311.0,678.0,"{'id': 678, 'points': 22}",355.0,308.0
12,Gameweek 12,2023-11-11T11:00:00Z,True,True,False,False,False,355.0,526.0,308.0,"{'id': 308, 'points': 16}",355.0,355.0
13,Gameweek 13,2023-11-25T11:00:00Z,True,True,False,False,False,355.0,362.0,86.0,"{'id': 86, 'points': 16}",355.0,308.0
14,Gameweek 14,2023-12-02T13:30:00Z,True,True,False,False,False,355.0,108.0,109.0,"{'id': 109, 'points': 14}",355.0,355.0
15,Gameweek 15,2023-12-05T18:00:00Z,True,True,False,False,False,355.0,412.0,267.0,"{'id': 267, 'points': 15}",355.0,355.0
16,Gameweek 16,2023-12-09T11:00:00Z,True,True,False,False,False,355.0,362.0,516.0,"{'id': 516, 'points': 17}",355.0,308.0
17,Gameweek 17,2023-12-15T18:30:00Z,True,True,False,False,False,355.0,85.0,689.0,"{'id': 689, 'points': 16}",355.0,308.0
18,Gameweek 18,2023-12-21T18:30:00Z,True,True,False,False,False,355.0,60.0,85.0,"{'id': 85, 'points': 17}",355.0,308.0
19,Gameweek 19,2023-12-26T11:00:00Z,True,True,False,False,False,355.0,85.0,468.0,"{'id': 468, 'points': 17}",308.0,516.0
20,Gameweek 20,2023-12-30T11:00:00Z,True,True,True,False,False,19.0,343.0,362.0,"{'id': 362, 'points': 18}",355.0,308.0
21,Gameweek 21,2024-01-12T18:15:00Z,False,False,False,True,False,19.0,353.0,294.0,"{'id': 294, 'points': 19}",355.0,19.0
22,Gameweek 22,2024-01-30T18:00:00Z,False,False,False,False,True,,,,,,
23,Gameweek 23,2024-02-03T11:00:00Z,False,False,False,False,False,,,,,,
24,Gameweek 24,2024-02-10T11:00:00Z,False,False,False,False,False,,,,,,
25,Gameweek 25,2024-02-17T11:00:00Z,False,False,False,False,False,,,,,,
26,Gameweek 26,2024-02-23T18:30:00Z,False,False,False,False,False,,,,,,
27,Gameweek 27,2024-03-02T13:30:00Z,False,False,False,False,False,,,,,,
28,Gameweek 28,2024-03-09T13:30:00Z,False,False,False,False,False,,,,,,
29,Gameweek 29,2024-03-16T13:30:00Z,False,False,False,False,False,,,,,,
30,Gameweek 30,2024-03-30T13:30:00Z,False,False,False,False,False,,,,,,
31,Gameweek 31,2024-04-02T17:15:00Z,False,False,False,False,False,,,,,,
32,Gameweek 32,2024-04-06T12:30:00Z,False,False,False,False,False,,,,,,
33,Gameweek 33,2024-04-13T12:30:00Z,False,False,False,False,False,,,,,,
34,Gameweek 34,2024-04-20T12:30:00Z,False,False,False,False,False,,,,,,
35,Gameweek 35,2024-04-27T12:30:00Z,False,False,False,False,False,,,,,,
36,Gameweek 36,2024-05-04T12:30:00Z,False,False,False,False,False,,,,,,
37,Gameweek 37,2024-05-11T12:30:00Z,False,False,False,False,False,,,,,,
38,Gameweek 38,2024-05-19T13:30:00Z,False,False,False,False,False,,,,,,
