gw,player_id,player_name,team,position,position_id,cost,prob_appearance,xp,squad,lineup,captain,vice_captain,transfer_in,transfer_out
22,275,Leno,Fulham,GKP,1,4.8,0.95,4.01,1.0,1.0,0.0,0.0,0.0,0.0
22,369,Walker,Man City,DEF,2,5.4,0.94,4.64,1.0,1.0,0.0,0.0,0.0,0.0
22,342,Aké,Man City,DEF,2,5.0,0.86,4.56,1.0,1.0,0.0,0.0,0.0,0.0
22,506,Pedro Porro,Spurs,DEF,2,5.9,0.94,4.51,1.0,1.0,0.0,0.0,0.0,0.0
22,19,Saka,Arsenal,MID,3,9.1,0.94,5.9,1.0,1.0,1.0,0.0,0.0,0.0
22,526,Bowen,West Ham,MID,3,8.1,0.94,5.61,1.0,1.0,0.0,1.0,0.0,0.0
22,664,Ward-Prowse,West Ham,MID,3,6.0,0.94,5.57,1.0,1.0,0.0,0.0,0.0,0.0
22,14,Ødegaard,Arsenal,MID,3,8.5,0.92,5.37,1.0,1.0,0.0,0.0,0.0,0.0
22,117,Toney,Brentford,FWD,4,8.0,0.93,5.47,1.0,1.0,0.0,0.0,0.0,0.0
22,60,Watkins,Aston Villa,FWD,4,8.9,0.94,5.37,1.0,1.0,0.0,0.0,0.0,0.0
22,343,J.Alvarez,Man City,FWD,4,7.0,0.94,5.27,1.0,1.0,0.0,0.0,0.0,0.0
22,230,Johnstone,Crystal Palace,GKP,1,4.5,0.7,3.54,1.0,0.0,0.0,0.0,0.0,0.0
22,129,Dunk,Brighton,DEF,2,5.0,0.93,3.04,1.0,0.0,0.0,0.0,0.0,0.0
22,112,Pinnock,Brentford,DEF,2,4.6,0.94,2.97,1.0,0.0,0.0,0.0,0.0,0.0
22,126,Caicedo,Chelsea,MID,3,4.5,0.87,2.63,1.0,0.0,0.0,0.0,0.0,0.0
23,275,Leno,Fulham,GKP,1,4.8,0.95,3.83,1.0,1.0,0.0,0.0,0.0,0.0
23,430,Trippier,Newcastle,DEF,2,6.7,0.82,5.3,1.0,1.0,0.0,0.0,1.0,0.0
23,506,Pedro Porro,Spurs,DEF,2,5.9,0.94,3.97,1.0,1.0,0.0,0.0,0.0,0.0
23,129,Dunk,Brighton,DEF,2,5.0,0.93,3.7,1.0,1.0,0.0,0.0,0.0,0.0
23,19,Saka,Arsenal,MID,3,9.1,0.94,5.68,1.0,1.0,0.0,1.0,0.0,0.0
23,14,Ødegaard,Arsenal,MID,3,8.5,0.92,5.19,1.0,1.0,0.0,0.0,0.0,0.0
23,526,Bowen,West Ham,MID,3,8.1,0.94,5.07,1.0,1.0,0.0,0.0,0.0,0.0
23,664,Ward-Prowse,West Ham,MID,3,6.0,0.94,5.07,1.0,1.0,0.0,0.0,0.0,0.0
23,85,Solanke,Bournemouth,FWD,4,7.1,0.94,5.69,1.0,1.0,1.0,0.0,1.0,0.0
23,60,Watkins,Aston Villa,FWD,4,8.9,0.94,5.17,1.0,1.0,0.0,0.0,0.0,0.0
23,117,Toney,Brentford,FWD,4,8.0,0.93,4.93,1.0,1.0,0.0,0.0,0.0,0.0
23,230,Johnstone,Crystal Palace,GKP,1,4.5,0.7,3.52,1.0,0.0,0.0,0.0,0.0,0.0
23,342,Aké,Man City,DEF,2,5.0,0.86,3.63,1.0,0.0,0.0,0.0,0.0,0.0
23,112,Pinnock,Brentford,DEF,2,4.6,0.94,2.78,1.0,0.0,0.0,0.0,0.0,0.0
23,126,Caicedo,Chelsea,MID,3,4.5,0.87,2.97,1.0,0.0,0.0,0.0,0.0,0.0
23,369,Walker,Man City,DEF,2,5.4,0.94,3.74,0.0,0.0,0.0,0.0,0.0,1.0
23,343,J.Alvarez,Man City,FWD,4,7.0,0.94,4.5,0.0,0.0,0.0,0.0,0.0,1.0
24,275,Leno,Fulham,GKP,1,4.8,0.95,3.78,1.0,1.0,0.0,0.0,0.0,0.0
24,290,Alexander-Arnold,Liverpool,DEF,2,8.5,0.85,5.71,1.0,1.0,1.0,0.0,1.0,0.0
24,430,Trippier,Newcastle,DEF,2,6.7,0.82,4.91,1.0,1.0,0.0,0.0,0.0,0.0
24,342,Aké,Man City,DEF,2,5.0,0.86,4.46,1.0,1.0,0.0,0.0,0.0,0.0
24,19,Saka,Arsenal,MID,3,9.1,0.94,5.64,1.0,1.0,0.0,1.0,0.0,0.0
24,14,Ødegaard,Arsenal,MID,3,8.5,0.92,5.22,1.0,1.0,0.0,0.0,0.0,0.0
24,526,Bowen,West Ham,MID,3,8.1,0.94,5.08,1.0,1.0,0.0,0.0,0.0,0.0
24,664,Ward-Prowse,West Ham,MID,3,6.0,0.94,5.0,1.0,1.0,0.0,0.0,0.0,0.0
24,117,Toney,Brentford,FWD,4,8.0,0.93,5.46,1.0,1.0,0.0,0.0,0.0,0.0
24,60,Watkins,Aston Villa,FWD,4,8.9,0.94,5.1,1.0,1.0,0.0,0.0,0.0,0.0
24,85,Solanke,Bournemouth,FWD,4,7.1,0.94,4.86,1.0,1.0,0.0,0.0,0.0,0.0
24,230,Johnstone,Crystal Palace,GKP,1,4.5,0.7,3.51,1.0,0.0,0.0,0.0,0.0,0.0
24,112,Pinnock,Brentford,DEF,2,4.6,0.94,3.94,1.0,0.0,0.0,0.0,0.0,0.0
24,129,Dunk,Brighton,DEF,2,5.0,0.93,2.82,1.0,0.0,0.0,0.0,0.0,0.0
24,126,Caicedo,Chelsea,MID,3,4.5,0.87,2.86,1.0,0.0,0.0,0.0,0.0,0.0
24,506,Pedro Porro,Spurs,DEF,2,5.9,0.94,3.87,0.0,0.0,0.0,0.0,0.0,1.0
